Symbol,Company Name,Sector Index
STARLOG,Starlog Enterprises Limited,NIFTY SERVICES
SHVSUIT,Shiva Suitings Ltd.,NIFTY SERVICES
TITANIN,TITAN INTECH LIMITED,NIFTY IT
EUROTEXIND,Eurotex Industries & Exports Ltd.,
ICIL,Indo Count Industries Ltd,
MARALOVER,Maral Overseas Ltd.,
SOMATEX,Soma Textile & Industries Ltd,
ADVLIFE,Advance Lifestyles Ltd.,
KAKTEX,Kakatiya Textiles Ltd.,
OCTAVE,Perfect-Octave Media Projects Ltd,NIFTY MEDIA
TRIDENT,Trident Ltd,
HISARSP,Hisar Spinning Mills Ltd,
ALOKINDS,Alok Industries Ltd.,
PASARI,Pasari Spinning Mills Ltd.,
AMARJOTHI,Amarjothi Spinning Mills Ltd,
OLYMPTX,Olympia Industries Ltd.,NIFTY SERVICES
NAGREEKEXP,Nagreeka Exports Ltd.,
SUDTIND-B,Suditi Industries Ltd.,
SBFL,Shree Bhavya Fabrics Limited,
GEMSPIN,Gem Spinners India Ltd,
EUREKAI,Eureka Industries Ltd.,
ADITYASP,Aditya Spinners Ltd.,
PRIMEURB,Prime Urban Development India Ltd,NIFTY REALTY
DHANFAB,Dhanlaxmi Fabrics Ltd.,
SLSTLQ,Sri Lakshmi Saraswathi Textiles (Ar,
ZODIACLOTH,Zodiac Clothing Co. Ltd.,
MAXGROW,MAXGROW INDIA LIMITED,NIFTY CONSUMER DURABLES
SRMCL,Sri Ramakrishna Mills (Coimbatore) Ltd.,
SUPERSPIN,Super Spinning Mills Ltd.,
SILINV,SIL Investments Ltd,NIFTY FINANCIAL SERVICES
SURYALAXMI,Suryalakshmi Cotton Mills Ltd.,
SAMTEX,Samtex Fashions Ltd.,
CITYMAN,Cityman Limited,NIFTY CONSUMER DURABLES
DHANROTO,Dhanalaxmi Roto Spinners Ltd.,
DAMODARIND,Damodar Industries Limited,
SANBLUE,Sanblue Corporation Limited,
UNIROYAL,Uniroyal Industries Ltd,
TATIAGLOB,Tatia Global Vennture Limited,NIFTY REALTY
SUNILTX,Sunil Industries Ltd.,NIFTY SERVICES
SRINACHA,Sri Nachammai Cotton Mills Ltd.,
BGDL,BHARAT GLOBAL DEVELOPERS LIMITED,NIFTY IT
SAMBANDAM,Sambandam Spinning Mills Ltd.,
MKPMOB,MKP Mobility Limited,
PARASPETRO,Paras Petrofils Ltd.,NIFTY FINANCIAL SERVICES
KITEX,Kitex Garmenets Ltd.,
CRANEX,Cranex Ltd.,
BATLIBOI,Batliboi Ltd,
AUSTENG,Austin Engineering Co. Ltd.,
UNIDT,United Drilling Tools Ltd.,
FLUIDOM,Fluidomat Ltd.,
EMAINDIA,Ema India Ltd.,
WINDMACHIN,Windsor Machines Limited,
SHANTIGEAR,Shanthi Gears Ltd.,
MIVENMACH,Miven Machine Tools Ltd.,
HONDAPOWER,HONDA INDIA POWER PRODUCTS LIMITED,
HITECHGEAR,The Hi-Tech Gears Limited,NIFTY AUTO
ELGIEQUIP,Elgi Equipments Ltd.,
UVDRHOR,United Van Der Horst Ltd.,
KLBRENG-B,Kilburn Engineering Ltd,
BIRLAPREC,Birla Precision Technologies Ltd,
YUKEN,Yuken India Ltd.,
TIMKEN,Timken India Ltd,
VOITHPAPR,Voith Paper Fabrics India Ltd,
ARTSON,ARTSON LIMITED,
SOLIMAC,Solitaire Machine Tools Ltd,
DIACABS,Diamond Power Infrastructure Limited,
INDSILHYD,Indsil Hydro Power and Manganese Limited,NIFTY METAL
ITL,ITL Industries Ltd.,
FRONTSP,Frontier Springs Ltd.,NIFTY AUTO
PRAJIND,Praj Industries Ltd.,
RASANDIK,Rasandik Engg. Industries India Ltd,NIFTY AUTO
YOGISUNG,Yogi Sung-won (India) Ltd.,NIFTY FINANCIAL SERVICES
HLEGLAS,HLE GLASCOAT LIMITED,
GUJAPOLLO,Gujarat Apollo Industries Ltd.,
TANAA,Taneja Aerospace & Aviation Ltd.,
CONART,Conart Engineers Ltd.,
MINALIND,Minal Industries Limited,NIFTY SERVICES
SHIVAGR,Shivagrico Implements Ltd.,
MMFL,M.M.Forgings Ltd.,NIFTY AUTO
IYKOTHITE,Iykot Hitech Toolroom Ltd,
MAYURUNIQ,Mayur Uniquoters ltd.,NIFTY CONSUMER DURABLES
CENLUB,Cenlub Industries Ltd.,
RAJOOENG,Rajoo Engineers Ltd.,
DOLPHIN,Dolphin Offshore Enterprises (India) ltd.,NIFTY ENERGY
VJLAXMIE,Veejay Lakshmi Engineering Works Lt,
AHMDSTE,Ahmedabad Steelcraft Ltd.,
GVTD,GE Vernova T&D India Limited,
RAMRAT,Ram Ratna Wires Ltd.,
JAYNECOIND,Jayaswal Neco Industries Ltd,
KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED,
NMSRESRC,NMS RESOURCES GLOBAL LIMITED,NIFTY SERVICES
CANDOUR,CANDOUR TECHTEX LIMITED,
TIGLOB,T & I Global Ltd.,
CONTROLPR,Control Print (India) Ltd.,NIFTY IT
BEMHY,Bemco Hydraulics Ltd.,
ANSALBU,Ansal Buildwell Ltd.,NIFTY REALTY
WEIZMANIND,Weizmann Limited.,
BNRSEC,B.N.Rathi Securities Ltd.,NIFTY FINANCIAL SERVICES
RISHITECH,Rishi Techtex Limited,
SINCLAIR,Sinclairs Hotels  Ltd,NIFTY SERVICES
SAFARI,Safari Industries (India) Ltd.,NIFTY CONSUMER DURABLES
ADSDIAG,A.D.S. Diagnostics Ltd.,NIFTY PHARMA
ZBINTXPP,Binayak Tex Processors  Ltd.,
JJFINCOR,J.J. Finance Corporation Ltd.,NIFTY FINANCIAL SERVICES
COSMOFE,Cosmo Ferrites Ltd.,
CROPSTER,CROPSTER AGRO LIMITED,
FUTURSEC,Futuristic Securities Ltd,NIFTY FINANCIAL SERVICES
SANCTRN,Sanco Trans Ltd.,NIFTY SERVICES
ADORMUL,Ador Multiproducts Ltd,NIFTY FMCG
EIHAHOTELS,EIH Associated Hotels Ltd.,NIFTY SERVICES
MEDICAPQ,Medi-Caps Ltd.,NIFTY PHARMA
OTCO,Otco International Ltd,NIFTY SERVICES
MORGANITE,Morganite Crucible (India) Limited,
BAPACK,B&A Packaging India Limited,
ABAN,Aban  Offshore Ltd.,NIFTY ENERGY
KOKUYOCMLN,Kokuyo Camlin Ltd,NIFTY FMCG
SRMENERGY,SRM Energy Limited,
BHARATSE,Bharat Seats Ltd,NIFTY AUTO
CONTPTR,Continental Petroleums Ltd.,NIFTY ENERGY
NBFOOT,N.B. Footwear Ltd.,NIFTY CONSUMER DURABLES
MACPLASQ,Machino Plastics Ltd,NIFTY AUTO
PEARLPOLY,Pearl Polymers Ltd.,NIFTY CONSUMER DURABLES
VENKEYS,Venky's (India) ltd.,NIFTY FMCG
ADVANIHOTR,Advani Hotels & Resorts (India) Ltd.,NIFTY SERVICES
GVFILM,G.V. Films  Ltd.,NIFTY MEDIA
SUPERHOUSE,Superhouse limited,NIFTY CONSUMER DURABLES
RAMAVISION,Rama Vision Ltd,NIFTY SERVICES
TCPLPACK,TCPL Packaging Limited,
SHRIGANG,Shri Gang Industries & Allied Products Limited,NIFTY FMCG
PURITY,Purity Flex Pack Ltd,
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,
KOVAI,Kovai Medical Center & Hospital Ltd,NIFTY PHARMA
ELDEHSG,Eldeco Housing & Ind. Ltd.,NIFTY REALTY
MICROSE,Microse India Limited,NIFTY FINANCIAL SERVICES
DCMSHRIRAM,DCM Shriram Limited,
DCMSRIND,DCM Shriram Industries Ltd.,NIFTY FMCG
MAWANASUG,Mawana Sugars Ltd,NIFTY FMCG
MINID,Mini Diamonds (India) Ltd.,NIFTY CONSUMER DURABLES
MAHAPEXLTD,Maha Rashtra Apex Corporation Ltd,NIFTY FINANCIAL SERVICES
NILKAMAL,Nilkamal Limited,NIFTY CONSUMER DURABLES
NAHARPOLY,Nahar Polyfilms Ltd.,
3MINDIA,3M India Ltd.,
JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd.,NIFTY CONSUMER DURABLES
JMFINANCIL,JM Financial Limited,NIFTY FINANCIAL SERVICES
ADCINDIA,ADC India Communications Limited,NIFTY TELECOM
TNTELE,Tamilnadu Telecommunications Ltd.,NIFTY TELECOM
SUNRAJDI,Sunraj Diamond Exports Ltd.,NIFTY CONSUMER DURABLES
RIIL,Reliance Industrial Infrastructure,NIFTY SERVICES
SHARP,Sharp India Ltd,NIFTY CONSUMER DURABLES
LINDEINDIA,Linde India Limited,NIFTY CHEMICALS
INDBNK,Ind Bank Housing Ltd,NIFTY FINANCIAL SERVICES
JAIMATAG,Jai Mata Glass Ltd.,NIFTY CONST MAT
LOTUSCHO,Lotus Chocolate Co. Ltd.,NIFTY FMCG
PACIFICI,Pacific Industries ltd.,NIFTY CONSUMER DURABLES
CMMHOSP,Chennai Meenakshi Multispeciality Hospital Ltd.,NIFTY PHARMA
UNIOFFICE,Universal Office Automation Limited,NIFTY SERVICES
APMIN,APM Industries Ltd.,
PRECWIRE,Precision Wires India ltd.,
KRYPTONQ,Krypton Industries Ltd,
SWISSMLTRY,SWISS MILITARY CONSUMER GOODS LIMITED,NIFTY CONSUMER DURABLES
MARBU,Martin Burn Ltd,NIFTY REALTY
FEL,Future Enterprises Limited,NIFTY SERVICES
INDTONER,Indian Toners & Developers Ltd.,NIFTY CHEMICALS
KUNSTOFF,Kunststoffe Industries Ltd.,
SCI,Shipping Corporation Of India Ltd,NIFTY SERVICES
SIKA,Sika Interplant Systems Ltd.,
ITI,ITI Limited (Indian Teleph.Ind.Ltd),NIFTY TELECOM
DREDGECORP,Dredging Corporation of India Ltd.,NIFTY SERVICES
PHRMASI,Phaarmasia Limited.,NIFTY PHARMA
NFL,National Fertilizers Ltd.,NIFTY CHEMICALS
IPRINGLTD,IP Rings Ltd.,NIFTY AUTO
PIIND,PI Industries Limited,NIFTY CHEMICALS
PLASTIBLEN,Plastiblends India Ltd.,NIFTY CHEMICALS
YASHINNO,YASH INNOVENTURES LIMITED,NIFTY SERVICES
KKPLASTICK,Kkalpana Plastick Limited,
WATERBASE,Waterbase Limited,NIFTY FMCG
FLEXFO,Flex Foods Ltd.,NIFTY FMCG
GOLKUNDIA,Golkunda Diamonds & Jewellery Ltd.,NIFTY CONSUMER DURABLES
APCOTEXIND,Apcotex Industries Limited,
FORTISMLR,Fortis Malar Hospitals Limited,NIFTY PHARMA
MASTEK,Mastek Limited,NIFTY IT
EIMCOELECO,EIMCO Elecon India Ltd.,
SAYAJIHOTL,Sayaji Hotel Ltd,NIFTY SERVICES
ASHIANA,Ashiana Housing Limited,NIFTY REALTY
SVAMSOF,Svam Software Ltd,NIFTY IT
ECOBOAR,Ecoboard Industries Ltd,NIFTY CONSUMER DURABLES
DVL,Dhunseri Ventures Limited,
TIHIL,TRANS INDIA HOUSE IMPEX LIMITED,
MAHEPC,MAHINDRA EPC IRRIGATION LIMITED,
MITSHI,Mitshi India Limited,NIFTY SERVICES
SHUKJEW,Shukra Jewellers Limited,NIFTY CONSUMER DURABLES
MAZDA,Mazda Ltd.,
VHLTD,Viceroy Hotels Ltd.,NIFTY SERVICES
SOVERDIA,Sovereign Diamonds Ltd,NIFTY CONSUMER DURABLES
MENONBE,Menon Bearings Ltd,NIFTY AUTO
MUKATPIP,Mukat Pipes Limited,
GUJRAFFIA,Gujarat Raffia Ind. Ltd.,
SIMPLEXINF,Simplex Infrastructures Limited,
INNOVTEC,Innovative Tech Pack Ltd,
SUPTANERY,Super Tannery Limited,NIFTY CONSUMER DURABLES
CONSTRONIC,CONSTRONICS INFRA LIMITED,NIFTY SERVICES
AXTEL,Axtel Industries Ltd.,
PIFL,Pacheli Industrial Finance Limited,NIFTY FINANCIAL SERVICES
VRWODAR,V R Woodart Ltd,NIFTY AUTO
APIL,AVI PRODUCTS INDIA LIMITED,NIFTY SERVICES
POONAWALLA,POONAWALLA FINCORP LIMITED,NIFTY FINANCIAL SERVICES
HINFLUR,Hindustan Flurocarbons Ltd.,NIFTY CHEMICALS
KINGFA,Kingfa Science & Technology (India) Ltd,
PATIDAR,Patidar Buildcon Limited,NIFTY REALTY
RAMAPHO,Rama Phosphates Ltd.,NIFTY CHEMICALS
VENLONENT,Venlon Enterprises Ltd.,NIFTY CHEMICALS
PETPLST,Pet Plastics Ltd.,
POLYPLEX,Polyplex Corporation Ltd.,
PANIDPR,Panther Industrial Products Ltd.,NIFTY SERVICES
ALBERTDAVD,Albert David Ltd.,NIFTY PHARMA
HARLETH,Haryana Leather Chemicals Ltd.,NIFTY CHEMICALS
CARYSIL,CARYSIL LIMITED,NIFTY CONSUMER DURABLES
KABRAEXTRU,Kabra Extrusion Technik Ltd,
VINYLINDIA,Vinyl Chemicals (India) Ltd.,NIFTY CHEMICALS
PCCOSMA,Pee Cee Cosma Sope Ltd.,NIFTY FMCG
TCMLMTD,TCM Ltd.,NIFTY CHEMICALS
IOLCP,IOL Chemicals & Pharmaceuticals Ltd,NIFTY PHARMA
KESARPE,Kesar Petroproducts Ltd,NIFTY CHEMICALS
VINATIORGA,Vinati Organics Ltd.,NIFTY CHEMICALS
LACTOSE,Lactose (India) Ltd.,NIFTY PHARMA
TEEAI,Teesta Agro Industries Ltd,NIFTY CHEMICALS
AARTIIND,Aarti Industries Ltd,NIFTY CHEMICALS
PNTKYOR,Pentokey Organy (India) Ltd.,NIFTY CHEMICALS
WANBURY,Wanbury Limited,NIFTY PHARMA
RESONANCE,Resonance Specialties Limited,NIFTY CHEMICALS
GAEL,Gujarat Ambuja Exports Ltd.,NIFTY FMCG
RCF,Rashtriya Chemicals & Fertilizers Limited,NIFTY CHEMICALS
GUJINJEC,Gujarat Inject (Kerala) Ltd.,NIFTY PHARMA
KOPRAN,Kopran Ltd.,NIFTY PHARMA
AIMCOPEST,Aimco Pesticides Ltd.,NIFTY CHEMICALS
GUJTERC,Gujarat Terce Laboratories Ltd,NIFTY PHARMA
KABRADG,Kabra Drugs Ltd,NIFTY PHARMA
JAYAGROGN,Jayant Agro-Organics Limited.,NIFTY CHEMICALS
BCLIND,BCL INDUSTRIES LIMITED,NIFTY FMCG
SHHARICH,Shree Hari Chemicals Export Ltd.,NIFTY CHEMICALS
INDOBORAX,Indo Borax & Chemicals Ltd.,NIFTY CHEMICALS
AARTIDRUGS,Aarti Drugs Limited,NIFTY PHARMA
BODALCHEM,Bodal Chemicals Ltd,NIFTY CHEMICALS
ORCHPHARMA,Orchid Pharma Limited,NIFTY PHARMA
VIMTALABS,Vimta Labs Ltd.,NIFTY PHARMA
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals,NIFTY PHARMA
ISHITADR,Ishita Drugs & Industries Ltd.,NIFTY PHARMA
MARKSANS,Marksans Pharma Ltd.,NIFTY PHARMA
UNIVSTAR,Universal Starch-Chem Allied Ltd.,NIFTY FMCG
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd,NIFTY PHARMA
NORRIS,Norris Medicines Ltd.,NIFTY SERVICES
ASINPET,Asian Petroproducts & Exports Ltd.,NIFTY CHEMICALS
CAMEXLTD,Camex  Ltd.,NIFTY CHEMICALS
EVEXIA,EVEXIA LIFECARE LIMITED,NIFTY FMCG
INDOEURO,Indo Euro Indchem Limited,NIFTY CHEMICALS
SYNCOMF,Syncom Formulations (India) Ltd.,NIFTY PHARMA
RIDDHI,Riddhi Siddhi Gluco Biols Ltd,NIFTY SERVICES
SVCIND,SVC INDUSTRIES LIMITED,NIFTY SERVICES
IPCALAB,Ipca Laboratories Ltd.,NIFTY PHARMA
KILITCH,Kilitch Drugs (I) Ltd.,NIFTY PHARMA
RAAJMEDI,Raaj Medisafe India Limited,
REVAORG,Revati Organics Ltd.,NIFTY SERVICES
CORALAB,Coral Laboratories Ltd.,NIFTY PHARMA
TULASEEBIOE,Tulasee Bio-Ethanol Ltd.,NIFTY CHEMICALS
KREBSBIO,Krebs Biochemicals & Industries Ltd.,NIFTY PHARMA
KMCSHIL,KMC Speciality Hospitals India Limited,NIFTY PHARMA
LAFFANSQ,Laffans Petrochemicals Ltd.,NIFTY CHEMICALS
BHASKAGR,Bhaskar Agrochemicals Ltd.,NIFTY CHEMICALS
SUKHJITS,Sukhjit Starch & Chemicals Ltd.,NIFTY FMCG
SHARMEH,Sharma East India Hospitals And Res,NIFTY PHARMA
NEULANDLAB,Neuland Laboratories Limited.,NIFTY PHARMA
GAYATRIBI,Gayatri BioOrganics Ltd,NIFTY CHEMICALS
PODDARMENT,Poddar Pigments Ltd.,NIFTY CHEMICALS
PHARMAID,Pharmaids Pharmaceuticals Ltd.,NIFTY PHARMA
VIVIDIND,Vivid Global Industries Limited,NIFTY CHEMICALS
PRIYALT,Priya Limited.,NIFTY SERVICES
TIRUSTA,Tirupati Starch & Chemicals Ltd.,NIFTY FMCG
HEMORGANIC,Hemo Organic Limited,NIFTY SERVICES
JAYSYNTH,JAYSYNTH ORGOCHEM LIMITED,NIFTY CHEMICALS
AEONXDIGI,Aeonx Digital Technology Limited,NIFTY IT
AKSHARCHEM,AksharChem (India) Ltd.,NIFTY CHEMICALS
BANDARAM,BANDARAM PHARMA PACKTECH LIMITED,NIFTY PHARMA
ADLINE,ADLINE CHEM LAB LIMITED,NIFTY PHARMA
BERLDRG,Beryl Drugs Ltd.,NIFTY PHARMA
INDXTRA,IEL LIMITED,NIFTY FMCG
ISTRNETWK,iStreet Network Limited,NIFTY SERVICES
GAGAN,Gagan Gases Ltd.,NIFTY CHEMICALS
PARKERAC,Parker Agro Chem Export Ltd.,NIFTY SERVICES
SHUKRAPHAR,Shukra Pharmaceuticals Limited,NIFTY PHARMA
ALUFLUOR,Alufluoride  Ltd.,NIFTY CHEMICALS
OXYGENTAPH,OXYGENTA PHARMACEUTICAL LIMITED,NIFTY PHARMA
ARCHITORG,Archit Organosys Limited,NIFTY CHEMICALS
SIKOZY,Sikozy Realtors Limited,NIFTY REALTY
INDOAMIN,Indo Amines Ltd.,NIFTY CHEMICALS
INDSWFTLTD,Ind-Swift Ltd.,NIFTY PHARMA
NATCAPSUQ,Natural Capsules Ltd.,NIFTY PHARMA
WELCURE,Welcure Drugs & Pharmaceuticals ltd,NIFTY PHARMA
BIBCL,Bharat Immunologicals & Biologicals,NIFTY PHARMA
SOTL,Savita Oil Technologies Limited,NIFTY ENERGY
HESTERBIO,Hester Biosciences Ltd,NIFTY PHARMA
KABSON,Kabsons Industries Ltd.,NIFTY SERVICES
BASANTGL,Basant Agro-Tech (India) Ltd.,NIFTY CHEMICALS
SANDUPHQ,Sandu Pharmaceuticals Ltd.,NIFTY PHARMA
NACLIND,NACL Industries Limited,NIFTY CHEMICALS
VISTAPH,Vista Pharmaceuticals Ltd.,NIFTY PHARMA
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,NIFTY PHARMA
TITANBIO,Titan Bio-Tech Ltd.,NIFTY CHEMICALS
BIJHANS,Bijoy Hans Ltd,NIFTY SERVICES
SDL,Span Divergent Limited,NIFTY PHARMA
JENBURPH,Jenburkt Pharmaceuticals Ltd.,NIFTY PHARMA
HIKAL,Hikal Ltd.,NIFTY PHARMA
CAPLIPOINT,Caplin Point Laboratories Ltd.,NIFTY PHARMA
FISCHER,FISCHER MEDICAL VENTURES LIMITED,NIFTY PHARMA
LINKPH,Link Pharma Chem Ltd.,NIFTY CHEMICALS
DECIPHER,DECIPHER LABS LIMITED,NIFTY PHARMA
EMMESSA,Emmessar Biotech & Nutrition Ltd.,NIFTY CHEMICALS
NGLFINE,NGL Fine Chem Ltd.,NIFTY PHARMA
EVERESTO,Everest Organics Ltd.,NIFTY PHARMA
AUROPHARMA,Aurobindo Pharma Ltd.,NIFTY PHARMA
PHYTO,Phyto Chem (India) Ltd.,NIFTY CHEMICALS
NATCOPHARM,Natco Pharma Ltd.,NIFTY PHARMA
DYNAMIND,Dynamic Industries Ltd.,NIFTY CHEMICALS
PANAMAPET,Panama Petrochem Ltd.,NIFTY ENERGY
BALPHARMA,Bal Pharma Ltd.,NIFTY PHARMA
BDH,BDH Industries Ltd.,NIFTY PHARMA
JAUSPOL,Jauss Polymers Ltd,
GLOBUSCON,Globus Constructors & Developers Limited,
CUBEXTUB,Cubex Tubings Ltd,
POLYCHMP,Polymechplast Machines Ltd.,
STELLANT,STELLANT SECURITIES (INDIA) LIMITED,NIFTY FINANCIAL SERVICES
GALXBRG,Galaxy Bearings Ltd.,
SCAGRO,SC Agrotech Limited,NIFTY FMCG
RALEGRA,Ravileela Granites Limited,NIFTY CONST MAT
UNRYLMA,Uniroyal Marine Exports Ltd.,NIFTY FMCG
KARANWO,Karan Woo-sin ltd.,NIFTY CONSUMER DURABLES
SHERVANI,Shervani Industrial syndicate Ltd,NIFTY REALTY
BNHOLDINGS,BN HOLDINGS LIMITED,NIFTY SERVICES
SUPERTEX,Supertex Industries Ltd,
SHETR,Shetron Ltd.,
TRABI,Transgene Biotek Ltd.,NIFTY PHARMA
MPL,MPL Plastics Limited,
NIKHILAD,Nikhil Adhesives Ltd.,NIFTY CHEMICALS
SPENTA,Spenta International Ltd.,
MULTIBASE,Multibase India Ltd,NIFTY CHEMICALS
ANDREWYU,Andrew Yule & Company Ltd,NIFTY FMCG
LUDLOWJUT,Ludlow Jute & Specialities Ltd,
ASHRAM,Ashram Online.com Ltd,NIFTY PHARMA
ROYALCU,Royal Cushion Vinyl Products Ltd.,NIFTY CONSUMER DURABLES
SURJIND,Suraj Industries Limited.,NIFTY FMCG
HITECHCORP,Hitech Corporation Limited,
BLOOM,Bloom Dekor Ltd.,
FILATEX,Filatex India Ltd.,
STDSFAC,Standard Surfactants Ltd.,NIFTY CHEMICALS
MORGAN,Morgan Ventures Ltd.,NIFTY FINANCIAL SERVICES
AMRAPLIN,Amrapali Industries Ltd,NIFTY SERVICES
PREMEXPLN,Premier Explosives Ltd.,NIFTY CHEMICALS
MIDEASTP,Mid East Portfolio Management Ltd.,NIFTY FINANCIAL SERVICES
MOLDTECH,Mold-Tek Technologies Ltd,
CRSTCHM,Crestchem Ltd.,NIFTY CHEMICALS
MPHASIS,Mphasis Limited,NIFTY IT
MEDINOV,Medinova Diagnostic Services Ltd.,NIFTY PHARMA
DIVSHKT,DIVYASHAKTI LIMITED,NIFTY CONST MAT
ORIENTLTD,Orient Press ltd.,
SHREYASI,Shreyas Intermediates Ltd.,NIFTY CHEMICALS
PANJON,Panjon Ltd.,NIFTY FMCG
NIRBHAYIND,Nirbhay Colours India Limited,NIFTY AUTO
DUROPACK,Duropack Ltd,
SWARNSAR,SWARNSARITA JEWELS INDIA LIMITED,NIFTY CONSUMER DURABLES
GANESHHOUC,Ganesh Housing Corporation Ltd.,NIFTY REALTY
NMDC,NMDC Ltd,NIFTY METAL
CINDHO,Cindrella Hotels Ltd.,NIFTY SERVICES
PATINTLOG,Patel Integrated Logistics Ltd,NIFTY SERVICES
ALPHAGEO,Alphageo (India)Ltd.,NIFTY ENERGY
HAMPTON,HAMPTON SKY REALTY LIMITED,NIFTY REALTY
KKALPANAIND,Kkalpana Industries (India) Ltd,NIFTY CHEMICALS
OKPLA,OK Play India Ltd.,NIFTY CONSUMER DURABLES
KRITI,Kriti Industries (India) Ltd.,
WELTI,Welterman International Ltd.,NIFTY CONSUMER DURABLES
ASMTEC,ASM Technologies Ltd.,NIFTY IT
PERFEPA,Perfectpac Limited,
AMBIT,Ambitious Plastomac Ltd.,NIFTY SERVICES
VISIONCINE,Vision Cinemas Limited,NIFTY MEDIA
AEIM,Artificial Electronics Intelligent Material Limited,NIFTY IT
INDRANIB,Indrayani Biotech Ltd.,NIFTY FMCG
EUROLED,Euro Leder Fashion Ltd.,NIFTY CONSUMER DURABLES
WINSOMBR,Winsome Breweries Ltd.,NIFTY FMCG
ELEFLOR,Elegant Floriculture & Agrotech (In,NIFTY FMCG
SAENTER,South Asian Enteprises Ltd.,NIFTY SERVICES
SKYIND,Sky Industries Ltd,
PHOENXINTL,Phoenix International Ltd.,NIFTY SERVICES
BHUDEVI,BHUDEVI INFRA PROJECTS LIMITED,NIFTY REALTY
PRATIK,Pratik Panels Ltd.,
RISHIROOP,Rishiroop Limited,
PROMACT,PROMACT IMPEX LIMITED,
STRGRENWO,Sterling Green  Woods  Limited,NIFTY SERVICES
SYSTMTXC,Systematix Corporate Services Ltd.,NIFTY FINANCIAL SERVICES
SHAHISHIP,Shahi Shipping Limited,NIFTY SERVICES
ALPINEHOU,Alpine Housing Development Corporat,NIFTY REALTY
SANGHIIND,Sanghi Industries Ltd.,NIFTY CONST MAT
WWALUM,WORLDWIDE ALUMINIUM LIMITED,NIFTY SERVICES
IIRM,IIRM HOLDINGS INDIA LIMITED,NIFTY SERVICES
SFPIL,Square Four Projects India Limited,NIFTY CHEMICALS
SGLRES,SGL RESOURCES LIMITED,NIFTY IT
CHOKSILA,Choksi Laboratories Ltd.,NIFTY PHARMA
CCHHL,Country Club Hospitality & Holidays Ltd,NIFTY SERVICES
SALGUTI,Salguti Industries Ltd.,
MIDWEST,Midwest Gold Ltd,NIFTY CONST MAT
ENTRINT,Enterprise International Limited,NIFTY SERVICES
TPLPLASTEH,TPL Plastech Limited,
WIMPLAST,Wim Plast Ltd.,NIFTY CONSUMER DURABLES
PHOTOQUP,Photoquip India Ltd.,NIFTY FMCG
LIBERTSHOE,Liberty Shoes Ltd.,NIFTY CONSUMER DURABLES
LIPPISYS,Lippi Systems Ltd.,
ELECTHERM,Electrotherm (India) Ltd,
BLUEDART,Blue Dart Express Ltd.,NIFTY SERVICES
EXPOGAS,Expo Gas Containers Ltd.,
NATPLAS,National Plastic Industries Ltd.,
MFLINDIA,MFL India Ltd,NIFTY SERVICES
AJWAFUN,Ajwa Fun World & Resorts Ltd,NIFTY SERVICES
TEXELIN,Texel Industries Ltd.,
RAYALEMA,Royale Manor Hotels & Industries Lt,NIFTY SERVICES
MIRZAINT,Mirza International  Limited,NIFTY CONSUMER DURABLES
TFCILTD,Tourism Finance Corpn. Of India Ltd,NIFTY FINANCIAL SERVICES
THAKDEV,Thakker's Developers Ltd.,NIFTY REALTY
ARENTERP,Rajdarshan Industries Ltd.,NIFTY METAL
BIL,Bhartiya International Ltd.,NIFTY CONSUMER DURABLES
KAMATHOTEL,Kamat Hotels (India) ltd.,NIFTY SERVICES
TIRTPLS,Tirth Plastic Ltd.,NIFTY SERVICES
KEEPLEARN,DSJ KEEP LEARNING LIMITED,NIFTY SERVICES
POLOHOT,Polo Hotels Ltd.,NIFTY SERVICES
ECOPLAST,Ecoplast Ltd.,
ELEMARB,Elegant Marbles & Grani Industries,NIFTY CONSUMER DURABLES
BITS,BITS Ltd,NIFTY IT
ADARSHPL,Adarsh Plant Project Ltd.,NIFTY CHEMICALS
HPBL,HCP PLASTENE BULKPACK LIMITED,
NICCOPAR,Nicco Parks And Resorts Ltd.,NIFTY SERVICES
NTCIND,NTC INDUSTRIES LIMITED,NIFTY FMCG
SANDESH,Sandesh Ltd.,NIFTY MEDIA
GARNET,Garnet Construction Ltd.,NIFTY REALTY
GOLDIAM,Goldiam International Ltd.,NIFTY CONSUMER DURABLES
BRIGHTBR,Bright Brothers Ltd.,
SHAWGELTIN,Narmada Gelatines Ltd.,NIFTY CHEMICALS
PGFOILQ,P.G.Foils Ltd.,NIFTY METAL
GRATEXI,Gratex Industries Ltd.,
VELHO,Velan Hotels Ltd.,NIFTY SERVICES
HOWARHO,Howard Hotels Limited,NIFTY SERVICES
PRESSURS,Pressure Sensitive Systems (India),
VALIANT,Valiant Communications Ltd.,NIFTY TELECOM
DRAGARWQ,Dr.Agarwals Eye Hospital Ltd.,NIFTY PHARMA
MHSGRMS,Mahasagar Travels Ltd.,NIFTY SERVICES
GREENPLY,Greenply Industries Ltd,NIFTY CONSUMER DURABLES
SEAMECLTD,Seamec Ltd,NIFTY SERVICES
