Company Name,Industry,Symbol
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER
Cummins India Ltd.,Capital Goods,CUMMINSIND
DLF Ltd.,Realty,DLF
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL
Godrej Properties Ltd.,Realty,GODREJPROP
Grasim Industries Ltd.,Construction Materials,GRASIM
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC
Indus Towers Ltd.,Telecommunication,INDUSTOWER
InterGlobe Aviation Ltd.,Services,INDIGO
Larsen & Toubro Ltd.,Construction,LT
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH
NTPC Ltd.,Power,NTPC
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Power Grid Corporation of India Ltd.,Power,POWERGRID
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON
Shree Cement Ltd.,Construction Materials,SHREECEM
Siemens Ltd.,Capital Goods,SIEMENS
Tata Power Co. Ltd.,Power,TATAPOWER
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
Bharat Electronics Ltd.,Capital Goods,BEL
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP
NBCC (India) Ltd.,Construction,NBCC
NHPC Ltd.,Power,NHPC
NLC India Ltd.,Power,NLCINDIA
NTPC Ltd.,Power,NTPC
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
Power Grid Corporation of India Ltd.,Power,POWERGRID
SJVN Ltd.,Power,SJVN
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
Adani Energy Solutions Ltd.,Power,ADANIENSOL
Adani Green Energy Ltd.,Power,ADANIGREEN
Adani Power Ltd.,Power,ADANIPOWER
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
Grasim Industries Ltd.,Construction Materials,GRASIM
Hindalco Industries Ltd.,Metals & Mining,HINDALCO
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC
JSW Energy Ltd.,Power,JSWENERGY
JSW Steel Ltd.,Metals & Mining,JSWSTEEL
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL
NHPC Ltd.,Power,NHPC
NMDC Ltd.,Metals & Mining,NMDC
NTPC Ltd.,Power,NTPC
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
PI Industries Ltd.,Chemicals,PIIND
Pidilite Industries Ltd.,Chemicals,PIDILITIND
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
SRF Ltd.,Chemicals,SRF
Shree Cement Ltd.,Construction Materials,SHREECEM
Tata Power Co. Ltd.,Power,TATAPOWER
Tata Steel Ltd.,Metals & Mining,TATASTEEL
Torrent Power Ltd.,Power,TORNTPOWER
UPL Ltd.,Chemicals,UPL
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
Vedanta Ltd.,Metals & Mining,VEDL
Anant Raj Ltd.,Realty,ANANTRAJ
Brigade Enterprises Ltd.,Realty,BRIGADE
DLF Ltd.,Realty,DLF
Godrej Properties Ltd.,Realty,GODREJPROP
Lodha Developers Ltd.,Realty,LODHA
Oberoi Realty Ltd.,Realty,OBEROIRLTY
Phoenix Mills Ltd.,Realty,PHOENIXLTD
Prestige Estates Projects Ltd.,Realty,PRESTIGE
Raymond Ltd.,Realty,RAYMOND
Sobha Ltd.,Realty,SOBHA
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
Adani Enterprises Ltd.,Metals & Mining,ADANIENT
Hindalco Industries Ltd.,Metals & Mining,HINDALCO
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC
JSW Steel Ltd.,Metals & Mining,JSWSTEEL
Jindal Stainless Ltd.,Metals & Mining,JSL
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME
NMDC Ltd.,Metals & Mining,NMDC
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM
Steel Authority of India Ltd.,Metals & Mining,SAIL
Tata Steel Ltd.,Metals & Mining,TATASTEEL
Vedanta Ltd.,Metals & Mining,VEDL
Welspun Corp Ltd.,Capital Goods,WELCORP
D.B.Corp Ltd.,Media Entertainment & Publication,DBCORP
Dish TV India Ltd.,Media Entertainment & Publication,DISHTV
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV
Tips Music Ltd.,Media Entertainment & Publication,TIPSMUSIC
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL
Coforge Ltd.,Information Technology,COFORGE
HCL Technologies Ltd.,Information Technology,HCLTECH
Infosys Ltd.,Information Technology,INFY
LTIMindtree Ltd.,Information Technology,LTIM
MphasiS Ltd.,Information Technology,MPHASIS
Oracle Financial Services Software Ltd.,Information Technology,OFSS
Persistent Systems Ltd.,Information Technology,PERSISTENT
Tata Consultancy Services Ltd.,Information Technology,TCS
Tech Mahindra Ltd.,Information Technology,TECHM
Wipro Ltd.,Information Technology,WIPRO
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR
ITC Ltd.,Fast Moving Consumer Goods,ITC
Marico Ltd.,Fast Moving Consumer Goods,MARICO
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
United Breweries Ltd.,Fast Moving Consumer Goods,UBL
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL
Bajaj Finance Ltd.,Financial Services,BAJFINANCE
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC
HDFC Bank Ltd.,Financial Services,HDFCBANK
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE
ICICI Bank Ltd.,Financial Services,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI
Jio Financial Services Ltd.,Financial Services,JIOFIN
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN
Power Finance Corporation Ltd.,Financial Services,PFC
REC Ltd.,Financial Services,RECLTD
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO
MRF Ltd.,Automobile and Auto Components,MRF
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA
